I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6,-120,-114,63,54,-117,21,-21,-43,-66,-3,-42
-5,-116,-111,61,53,-113,30,-18,-39,-63,6,-42
-7,-111,-104,59,48,-107,29,-16,-37,-58,11,-42
-13,-106,-92,60,39,-99,26,-15,-35,-52,14,-44
-12,-99,-87,56,37,-93,23,-14,-32,-47,20,-42
-11,-93,-81,52,35,-87,22,-16,-28,-47,16,-38
-11,-87,-75,49,32,-81,23,-14,-24,-43,21,-35
-13,-81,-68,47,28,-75,22,-12,-19,-39,24,-30
-14,-77,-63,45,25,-70,20,-8,-15,-35,26,-25
-7,-70,-62,39,28,-66,14,-3,-13,-29,36,-18
-4,-65,-61,35,28,-63,14,1,-9,-25,38,-12
1,-60,-60,30,30,-60,19,6,-4,-18,51,-8
6,-55,-61,25,33,-58,18,9,-3,-14,57,-4
8,-54,-61,23,34,-57,16,12,-3,-11,60,-4
9,-51,-60,21,34,-55,15,15,-3,-7,70,0
3,-51,-54,24,29,-53,14,16,0,-6,70,6
0,-50,-50,25,25,-50,15,18,2,-1,77,9
-1,-47,-46,24,23,-47,15,17,3,4,80,13
-3,-44,-40,23,19,-42,12,19,7,9,83,17
0,-37,-36,19,18,-36,5,24,12,17,95,25
2,-30,-31,14,16,-30,2,26,15,22,98,32
7,-22,-28,7,17,-25,3,29,15,29,110,36
11,-15,-26,2,18,-20,-1,30,15,34,118,42
12,-11,-23,0,17,-17,-5,32,15,37,123,45
15,-6,-21,-4,18,-13,-10,34,14,40,134,50
14,-3,-16,-5,15,-10,-14,34,14,40,134,55
15,-1,-15,-7,15,-8,-16,34,11,40,140,57
16,0,-16,-8,16,-8,-19,30,5,39,142,61
17,2,-15,-9,16,-7,-22,28,3,36,141,62
24,6,-17,-15,20,-5,-29,28,2,34,148,66
26,10,-16,-18,21,-3,-32,26,2,31,148,70
31,15,-15,-23,23,0,-31,26,2,32,159,73
31,18,-13,-25,22,3,-35,24,2,31,163,74
26,19,-6,-22,16,6,-40,22,2,31,164,71
26,22,-4,-24,15,9,-44,22,1,32,170,70
24,24,0,-24,12,12,-47,20,0,29,165,70
23,25,2,-24,11,14,-46,20,-2,29,166,68
22,24,3,-23,9,14,-45,18,-5,28,162,69
17,23,7,-20,5,15,-48,15,-7,26,157,67
17,25,8,-21,5,16,-56,12,-11,25,160,66
15,25,10,-20,3,17,-59,3,-16,19,153,62
17,26,10,-21,3,18,-58,-9,-22,15,154,55
11,27,16,-19,-2,22,-64,-25,-30,9,146,46
-2,27,29,-12,-15,28,-72,-42,-37,2,133,33
-8,29,38,-11,-23,34,-74,-66,-47,-10,120,14
-15,32,48,-8,-31,40,-73,-96,-56,-29,91,-11
-21,27,48,-3,-35,38,-57,-116,-58,-47,63,-49
-26,18,44,4,-35,31,-34,-129,-54,-68,25,-93
-38,-3,36,21,-37,16,-2,-125,-40,-84,-17,-155
-51,-31,21,41,-36,-5,34,-108,-21,-97,-54,-225
-76,-73,4,74,-40,-34,89,-84,10,-104,-104,-320
-105,-125,-19,115,-43,-72,162,-50,49,-103,-147,-435
-145,-194,-48,170,-49,-121,233,-11,91,-103,-205,-563
-198,-278,-80,238,-59,-179,308,34,139,-102,-272,-705
-249,-362,-112,306,-68,-237,369,75,179,-103,-337,-846
-308,-449,-141,379,-84,-295,421,110,216,-108,-416,-987
-363,-527,-163,445,-100,-344,457,135,248,-106,-480,-1087
-418,-597,-178,508,-120,-387,478,147,274,-104,-544,-1154
-455,-643,-186,549,-134,-414,477,171,307,-69,-554,-1137
-474,-667,-192,570,-141,-429,458,203,343,-8,-517,-1053
-473,-667,-194,570,-140,-430,427,248,377,81,-418,-908
-451,-647,-195,549,-128,-421,387,306,408,195,-257,-713
-408,-601,-192,505,-108,-397,337,363,438,312,-73,-512
-351,-538,-186,444,-83,-361,284,424,471,434,135,-304
-287,-460,-173,374,-57,-316,232,468,496,546,330,-116
-224,-376,-151,300,-36,-263,182,501,516,648,505,55
-166,-292,-125,230,-21,-209,142,523,527,728,652,188
-115,-211,-95,163,-10,-153,107,531,530,786,762,288
-76,-148,-71,112,-3,-109,79,522,518,809,827,343
-42,-96,-53,70,5,-75,55,497,489,804,859,365
-20,-61,-40,40,10,-50,44,459,454,768,843,358
-1,-36,-34,19,16,-34,43,413,411,713,805,331
7,-15,-22,4,15,-18,37,363,366,646,743,300
6,-1,-7,-3,7,-4,31,313,321,572,669,267
9,16,7,-12,1,12,23,268,279,505,605,244
9,32,24,-20,-8,28,14,227,242,441,538,227
10,43,33,-26,-12,38,9,192,207,390,491,214
13,52,40,-32,-14,46,2,159,175,344,448,204
13,56,44,-34,-16,50,-6,131,149,303,411,190
17,60,44,-38,-14,52,-17,105,125,266,383,174
15,64,49,-39,-17,57,-25,79,104,230,348,155
14,68,55,-40,-20,61,-29,56,84,200,323,136
11,69,58,-40,-23,64,-36,34,68,172,295,122
6,66,61,-36,-28,64,-42,18,56,148,271,110
9,65,57,-37,-24,61,-47,7,44,129,256,105
12,62,50,-37,-19,56,-50,-1,35,110,234,103
13,58,45,-35,-16,52,-48,-4,27,99,227,102
13,55,43,-34,-15,49,-47,-8,19,89,219,101
12,53,41,-33,-14,47,-49,-9,14,81,214,98
18,55,38,-36,-10,47,-55,-10,8,76,215,95
18,56,39,-37,-10,48,-58,-16,3,66,206,88
19,58,39,-38,-10,49,-58,-25,-3,58,203,78
20,58,39,-39,-9,49,-61,-35,-8,49,192,72
18,56,38,-37,-10,47,-63,-43,-11,40,180,66
19,55,37,-37,-9,46,-63,-47,-14,39,178,67
15,53,39,-34,-12,46,-61,-47,-13,39,170,72
12,51,39,-31,-14,45,-57,-44,-13,41,173,77
9,48,40,-28,-16,45,-54,-43,-12,40,173,82
6,44,39,-25,-16,42,-54,-43,-12,39,173,83
9,42,33,-25,-12,38,-59,-45,-14,40,179,83
11,42,32,-26,-11,37,-62,-49,-16,36,175,78
15,45,31,-30,-8,38,-61,-51,-20,31,180,70
16,47,32,-32,-8,40,-62,-53,-23,26,175,66
12,47,35,-30,-11,41,-61,-52,-23,21,166,62
12,47,35,-30,-11,41,-61,-53,-24,17,165,64
9,45,37,-27,-14,41,-59,-54,-22,12,157,67
8,43,35,-25,-14,39,-56,-52,-21,11,159,69
7,41,34,-24,-13,38,-53,-49,-21,10,158,72
6,39,34,-23,-14,37,-53,-47,-20,9,157,71
10,40,31,-25,-10,36,-57,-45,-21,10,161,70
9,41,32,-25,-11,37,-58,-46,-22,7,157,67
10,41,32,-26,-11,37,-56,-48,-23,5,162,64
11,42,32,-27,-10,37,-58,-52,-23,3,160,62
9,42,33,-25,-12,38,-59,-55,-20,2,158,58
13,43,31,-27,-9,37,-61,-55,-17,2,161,60
13,42,30,-27,-8,36,-62,-55,-10,-1,155,63
14,41,28,-27,-7,35,-59,-53,-10,0,160,64
13,40,27,-26,-7,34,-56,-53,-14,0,160,65
11,39,29,-25,-9,34,-54,-53,-16,0,159,67
14,42,28,-28,-7,35,-56,-54,-18,2,164,71
15,44,30,-30,-7,37,-56,-55,-19,2,161,70
20,48,28,-34,-4,38,-54,-54,-18,4,168,66
21,49,29,-35,-4,39,-55,-55,-21,3,167,64
16,47,32,-32,-8,40,-54,-56,-24,2,164,62
16,47,32,-31,-8,40,-55,-55,-27,1,168,63
12,46,35,-29,-12,41,-56,-54,-27,-5,163,65
11,45,35,-28,-12,40,-52,-51,-28,-5,167,66
11,44,34,-27,-12,39,-46,-50,-29,-4,166,67
8,42,35,-25,-14,39,-46,-49,-29,-3,165,66
8,42,35,-25,-14,39,-51,-49,-31,0,171,66
7,41,34,-24,-13,38,-53,-52,-29,-1,167,64
12,40,29,-26,-9,35,-50,-55,-27,-2,172,60
14,39,26,-26,-6,32,-50,-58,-28,-3,170,59
11,35,24,-23,-6,29,-48,-59,-29,-4,168,58
12,34,23,-23,-6,29,-48,-60,-31,-3,171,59
8,34,27,-21,-10,31,-48,-62,-32,-5,165,59
6,33,28,-19,-11,31,-45,-62,-32,-5,167,60
3,32,29,-17,-13,31,-41,-64,-32,-6,164,62
-1,29,31,-14,-16,30,-40,-66,-32,-8,161,62
0,28,29,-14,-14,29,-45,-68,-34,-9,163,63
-2,28,31,-13,-16,29,-46,-70,-36,-11,159,61
-1,29,31,-14,-16,30,-43,-70,-38,-11,164,57
0,30,31,-14,-15,30,-43,-72,-40,-12,163,55
-1,28,30,-13,-16,29,-41,-73,-41,-14,162,52
0,30,31,-15,-15,31,-42,-74,-41,-15,165,53
-3,32,36,-14,-19,34,-43,-76,-38,-20,158,54
-3,32,36,-14,-20,35,-41,-75,-38,-21,160,54
-3,31,35,-14,-19,33,-38,-73,-38,-24,157,56
-4,29,34,-12,-19,32,-38,-73,-38,-26,154,56
-1,29,31,-14,-16,30,-42,-74,-40,-27,156,58
-1,30,32,-14,-16,31,-42,-77,-42,-31,151,58
2,33,32,-17,-15,32,-39,-78,-45,-32,157,56
2,33,32,-17,-15,33,-38,-79,-45,-33,157,54
-1,31,33,-15,-17,33,-36,-78,-42,-33,156,50
1,32,33,-16,-16,33,-37,-80,-45,-32,160,49
-1,33,35,-16,-18,34,-38,-83,-49,-33,155,50
0,34,35,-17,-17,35,-34,-85,-51,-32,156,49
2,36,35,-19,-17,36,-30,-87,-52,-34,151,50
0,36,37,-18,-18,36,-29,-88,-51,-36,147,50
1,36,36,-18,-18,36,-33,-88,-52,-38,151,51
3,36,34,-19,-16,35,-36,-91,-54,-41,145,52
11,37,27,-24,-8,33,-36,-94,-59,-40,149,53
14,38,25,-26,-5,32,-37,-98,-61,-42,146,54
13,37,25,-25,-6,31,-36,-101,-62,-44,144,53
14,37,24,-25,-5,31,-37,-104,-63,-45,146,55
10,37,28,-23,-9,33,-39,-107,-63,-49,139,56
9,35,27,-22,-9,31,-36,-109,-63,-49,140,56
7,33,26,-20,-10,30,-33,-114,-64,-50,135,57
4,31,28,-17,-12,30,-32,-116,-63,-51,131,57
6,32,28,-19,-11,30,-36,-118,-63,-50,133,60
4,34,31,-19,-14,33,-35,-120,-63,-52,128,60
5,37,33,-21,-14,35,-30,-122,-63,-50,134,60
4,38,34,-21,-15,36,-29,-123,-63,-49,136,62
1,37,36,-18,-18,37,-27,-123,-60,-48,138,63
3,38,35,-20,-16,37,-26,-123,-60,-47,144,65
3,38,36,-20,-16,37,-27,-124,-58,-49,139,67
5,38,34,-21,-14,36,-23,-125,-58,-48,143,67
5,37,33,-21,-14,35,-18,-128,-59,-49,139,69
3,36,34,-19,-15,35,-15,-128,-55,-49,137,69
4,37,34,-20,-15,36,-16,-126,-52,-48,142,72
2,38,37,-20,-17,38,-14,-125,-47,-46,141,74
2,40,38,-21,-18,39,-8,-123,-41,-40,152,76
1,40,40,-20,-19,40,-6,-122,-38,-37,156,79
-3,38,41,-18,-22,40,-4,-119,-36,-34,160,79
-1,40,41,-19,-21,41,-4,-117,-37,-30,167,80
-1,42,44,-20,-23,43,-5,-114,-37,-30,164,80
0,43,43,-21,-21,43,-3,-112,-36,-27,168,79
1,42,42,-21,-21,43,0,-113,-35,-27,166,81
-1,39,42,-19,-21,41,0,-113,-33,-26,165,80
-1,37,38,-18,-19,38,-4,-115,-34,-24,170,81
0,35,37,-17,-19,36,-4,-116,-34,-25,168,81
5,36,33,-20,-14,35,0,-115,-35,-23,176,81
6,35,30,-21,-12,33,3,-115,-37,-21,178,81
4,32,28,-18,-12,30,8,-114,-37,-17,181,80
6,32,26,-19,-10,29,9,-113,-37,-14,187,81
5,32,28,-18,-11,30,8,-113,-33,-15,182,81
7,32,26,-19,-10,29,13,-109,-29,-11,187,80
8,32,25,-20,-8,29,21,-103,-25,-8,186,82
9,31,23,-20,-7,27,23,-100,-23,-7,183,78
14,30,17,-22,-1,24,18,-98,-25,-8,184,74
14,29,15,-21,-1,22,18,-96,-24,-10,180,73
16,28,12,-22,2,21,22,-93,-21,-10,186,72
16,27,12,-21,2,19,25,-89,-20,-10,187,72
12,24,13,-17,-1,18,30,-84,-19,-7,189,68
12,21,9,-16,2,15,31,-81,-20,-6,192,66
10,16,7,-12,2,11,31,-80,-20,-9,185,63
7,12,5,-9,1,9,35,-78,-18,-9,186,58
3,8,6,-5,-2,7,39,-76,-16,-11,181,54
-3,4,8,0,-5,6,40,-75,-15,-12,176,49
-4,1,6,2,-5,4,36,-76,-18,-12,176,47
-7,-1,7,4,-7,3,35,-76,-20,-15,170,43
-4,-2,3,3,-4,1,37,-74,-22,-16,176,40
-5,-3,3,4,-4,0,38,-72,-24,-18,174,37
-9,-6,4,7,-6,-1,43,-69,-25,-19,173,32
-6,-6,0,6,-3,-3,43,-66,-28,-21,175,28
-4,-7,-2,6,-1,-4,42,-66,-29,-25,167,23
-3,-8,-4,6,1,-6,44,-64,-31,-27,167,16
-6,-11,-4,8,-1,-7,46,-65,-31,-32,161,11
-9,-13,-4,11,-3,-8,46,-63,-32,-34,156,8
-8,-14,-6,11,-1,-10,43,-61,-35,-32,156,9
-7,-15,-6,11,-1,-10,42,-60,-37,-34,150,9
-2,-13,-11,8,5,-12,43,-59,-39,-35,156,8
3,-13,-16,5,9,-14,42,-59,-41,-39,152,8
6,-16,-21,5,14,-18,40,-58,-43,-43,149,6
11,-15,-25,2,18,-19,35,-57,-45,-45,149,5
11,-13,-24,1,17,-18,28,-56,-47,-49,140,4
13,-11,-24,-1,18,-17,28,-54,-48,-51,140,3
14,-9,-22,-2,18,-15,32,-53,-49,-55,132,4
14,-7,-20,-3,17,-13,32,-53,-49,-56,129,4
18,-2,-20,-8,19,-11,27,-54,-51,-54,133,8
18,0,-17,-9,17,-8,25,-55,-52,-55,129,9
20,3,-16,-11,18,-6,25,-54,-54,-53,137,9
22,6,-16,-14,19,-5,25,-54,-56,-54,136,11
22,7,-15,-14,19,-4,26,-53,-57,-55,136,11
26,10,-16,-18,21,-3,24,-52,-60,-55,139,13
27,13,-14,-20,21,0,20,-52,-63,-59,132,12
29,14,-14,-21,21,0,21,-50,-63,-61,134,13
27,14,-12,-21,20,1,24,-48,-62,-66,129,17
25,15,-10,-20,17,3,23,-49,-65,-70,125,16
26,17,-9,-21,17,4,16,-52,-72,-73,124,16
26,18,-8,-22,17,5,14,-53,-75,-78,119,16
31,20,-11,-25,21,5,17,-50,-75,-79,125,18
32,20,-12,-26,22,4,19,-50,-77,-80,125,20
31,17,-13,-23,22,2,24,-49,-77,-80,126,20
33,18,-14,-25,24,2,23,-49,-78,-79,130,21
32,19,-12,-25,22,4,20,-50,-77,-81,126,22
33,19,-13,-26,23,3,24,-49,-76,-80,129,23
32,18,-13,-25,23,2,30,-49,-75,-81,124,27
31,17,-14,-24,23,2,32,-47,-74,-81,121,27
35,19,-16,-27,26,2,27,-45,-76,-81,123,27
36,21,-14,-28,25,4,27,-45,-77,-83,117,28
40,25,-14,-32,27,6,29,-43,-79,-84,121,29
38,26,-12,-32,25,7,32,-42,-79,-84,120,30
33,24,-8,-28,20,8,37,-40,-77,-81,123,29
32,24,-8,-28,20,9,37,-41,-77,-80,127,28
30,24,-5,-26,17,10,34,-44,-77,-84,119,26
29,24,-5,-26,17,10,36,-47,-77,-84,121,26
26,23,-3,-24,14,10,40,-50,-75,-85,114,27
25,22,-3,-23,14,10,40,-51,-74,-85,110,26
30,23,-6,-26,18,9,35,-51,-76,-84,112,27
31,25,-6,-28,18,10,34,-52,-75,-86,107,27
36,30,-6,-33,21,12,36,-51,-74,-86,113,28
36,31,-5,-33,21,13,37,-52,-73,-85,113,27
33,29,-3,-30,18,13,39,-52,-72,-82,115,23
35,29,-5,-32,20,12,36,-53,-73,-80,120,21
36,29,-6,-32,21,12,32,-55,-72,-80,116,19
38,30,-7,-34,22,12,34,-56,-73,-78,118,17
37,30,-6,-33,21,13,39,-58,-73,-77,111,18
37,30,-6,-33,21,12,41,-59,-73,-77,106,18
41,31,-9,-36,25,11,38,-59,-74,-79,107,21
40,32,-7,-36,24,12,39,-57,-72,-81,104,23
41,34,-6,-37,24,14,43,-51,-70,-80,115,25
41,34,-6,-37,23,14,47,-50,-70,-79,117,27
39,32,-6,-35,23,13,55,-51,-70,-76,119,25
41,30,-10,-35,25,10,54,-51,-71,-74,121,25
40,28,-11,-33,25,8,47,-52,-69,-75,114,25
41,29,-12,-35,26,9,48,-51,-68,-74,116,25
42,34,-8,-38,25,13,52,-52,-66,-76,110,26
41,34,-6,-38,24,14,53,-50,-64,-74,109,27
44,34,-9,-39,26,13,49,-48,-64,-70,112,31
41,34,-7,-37,24,14,49,-47,-62,-69,109,32
42,35,-7,-39,24,15,51,-46,-61,-68,117,32
45,36,-8,-40,27,14,54,-44,-61,-66,117,32
48,36,-12,-42,30,12,62,-41,-60,-64,120,30
53,38,-15,-45,34,12,62,-40,-60,-62,124,30
52,39,-12,-45,32,13,58,-41,-59,-63,120,30
51,39,-11,-45,31,14,62,-38,-59,-63,123,30
47,38,-8,-42,27,15,69,-37,-58,-65,117,30
42,37,-5,-39,24,16,72,-35,-56,-65,114,30
43,38,-4,-40,23,17,70,-35,-55,-63,115,33
42,38,-3,-39,22,18,68,-35,-54,-63,111,34
46,40,-6,-42,26,17,67,-33,-54,-59,119,35
48,41,-6,-44,27,18,69,-32,-54,-59,118,35
47,41,-6,-44,27,18,75,-31,-51,-57,120,34
50,43,-7,-46,29,18,74,-31,-52,-56,123,35
49,42,-6,-45,27,18,71,-33,-53,-57,118,35
51,43,-7,-47,29,19,75,-31,-51,-56,122,36
51,45,-5,-48,28,20,83,-29,-48,-57,118,38
51,47,-4,-49,28,21,85,-27,-46,-57,117,38
55,49,-5,-52,30,22,81,-27,-46,-55,118,40
56,50,-5,-53,30,23,79,-27,-45,-56,114,40
61,53,-7,-57,34,23,79,-27,-45,-54,120,40
61,54,-7,-57,34,24,80,-26,-46,-53,119,40
58,53,-5,-55,31,24,84,-21,-46,-51,121,39
57,54,-3,-55,30,26,86,-18,-43,-49,125,39
52,54,2,-53,25,28,88,-15,-35,-50,121,39
51,53,3,-52,24,28,92,-12,-33,-48,125,39
49,51,3,-50,23,27,95,-13,-36,-49,120,40
49,50,1,-49,24,26,96,-15,-38,-50,118,38
55,51,-4,-53,29,24,91,-18,-42,-51,117,36
56,53,-2,-54,29,26,92,-20,-43,-53,112,36
59,59,0,-59,29,30,95,-19,-44,-50,118,36
58,59,2,-58,28,31,99,-18,-44,-50,118,40
53,56,4,-54,25,30,106,-15,-43,-48,122,42
52,55,3,-53,25,29,107,-12,-44,-46,127,44
49,53,5,-51,22,29,106,-9,-43,-47,123,43
48,51,3,-49,23,27,109,-6,-42,-47,126,41
47,48,1,-47,23,25,115,-5,-40,-49,120,41
47,45,-2,-46,24,22,119,-5,-39,-50,119,40
53,45,-8,-49,30,19,118,-7,-40,-49,120,40
55,45,-10,-50,32,18,120,-10,-39,-51,116,39
61,47,-13,-54,37,17,122,-13,-40,-51,122,38
64,48,-16,-56,40,16,124,-17,-40,-52,120,38
65,47,-17,-56,41,15,127,-18,-41,-52,121,37
66,48,-18,-57,42,15,123,-18,-42,-51,124,37
62,47,-15,-54,38,16,117,-17,-41,-52,118,36
60,47,-12,-54,36,18,118,-15,-40,-52,121,35
56,48,-8,-52,32,20,124,-15,-39,-55,114,36
52,47,-5,-49,29,21,126,-12,-38,-56,112,35
53,45,-7,-49,30,19,123,-10,-39,-54,112,37
52,45,-6,-48,29,20,123,-9,-38,-54,109,36
57,48,-9,-52,33,20,125,-8,-37,-51,117,33
58,49,-9,-53,33,20,127,-11,-36,-51,115,33
56,49,-8,-52,32,21,132,-14,-36,-52,115,31
61,50,-10,-55,36,20,131,-17,-37,-51,118,32
63,51,-12,-56,37,20,129,-19,-37,-51,114,33
67,54,-13,-60,40,21,133,-19,-37,-50,118,33
68,57,-10,-62,39,24,140,-20,-35,-52,113,36
64,57,-7,-60,35,25,141,-20,-33,-54,111,35
62,56,-6,-58,34,25,136,-20,-34,-54,111,37
58,54,-5,-56,32,25,135,-20,-35,-57,106,37
62,53,-8,-57,35,23,135,-18,-37,-57,111,38
62,54,-8,-58,35,23,137,-17,-39,-57,110,39
61,56,-5,-58,33,25,143,-14,-39,-55,112,38
64,57,-6,-60,35,26,144,-12,-41,-54,117,38
63,57,-6,-60,34,26,144,-9,-40,-55,114,38
64,58,-6,-61,35,26,148,-7,-41,-55,118,38
63,60,-3,-61,33,29,154,-7,-40,-57,114,40
61,62,1,-61,30,32,157,-6,-38,-55,114,41
63,66,3,-64,30,34,155,-5,-37,-50,117,44
62,65,3,-64,29,35,153,-6,-37,-50,113,43
66,64,-2,-65,34,31,150,-5,-40,-49,119,41
71,63,-8,-67,39,27,150,-7,-43,-52,115,40
77,60,-16,-68,47,22,155,-8,-44,-53,115,38
80,61,-19,-70,49,21,155,-8,-45,-54,117,37
75,62,-13,-68,44,25,154,-7,-43,-57,111,33
73,62,-10,-67,41,26,156,-6,-42,-57,113,31
67,61,-6,-64,36,28,158,-7,-41,-58,105,31
65,60,-4,-62,34,28,160,-7,-39,-58,101,31
67,62,-5,-64,36,28,159,-7,-39,-58,100,33
67,64,-2,-65,34,31,159,-7,-38,-59,96,35
70,70,0,-70,35,35,161,-4,-37,-57,105,37
71,74,3,-72,34,38,163,-4,-37,-56,107,40
71,75,4,-72,33,40,168,-3,-37,-53,113,40
73,77,4,-75,35,40,166,-4,-39,-51,118,41
72,77,5,-74,33,41,161,-4,-39,-52,113,37
73,80,7,-76,33,44,164,-4,-39,-52,115,35
71,84,13,-77,29,49,170,-5,-39,-56,107,35
71,84,13,-78,29,49,173,-5,-38,-57,105,35
76,83,7,-79,34,45,171,-6,-40,-56,105,38
74,81,7,-78,34,44,169,-7,-39,-57,100,41
75,81,6,-78,34,44,168,-6,-39,-55,106,43
74,81,8,-78,33,45,170,-7,-38,-55,105,44
73,82,9,-77,32,46,176,-7,-37,-55,108,41
75,82,7,-78,34,44,176,-7,-37,-54,111,40
73,79,6,-76,34,42,174,-8,-36,-54,106,38
76,78,2,-77,37,40,175,-8,-35,-54,109,36
77,77,1,-77,38,39,178,-10,-34,-57,101,35
75,75,0,-75,37,38,178,-11,-34,-59,98,32
75,74,0,-75,38,37,174,-13,-36,-61,96,31
71,75,4,-73,34,39,172,-12,-35,-64,91,30
72,78,6,-75,33,43,172,-9,-34,-65,97,30
72,80,8,-76,32,44,175,-8,-32,-67,95,31
72,80,8,-76,32,44,181,-7,-31,-68,96,30
76,81,5,-79,35,43,180,-7,-31,-66,99,32
78,81,4,-79,37,42,176,-6,-30,-65,97,35
81,82,2,-81,39,42,179,-4,-30,-63,102,37
80,84,4,-82,38,44,187,-4,-28,-65,96,38
79,83,4,-80,37,44,191,-1,-26,-64,96,38
80,82,3,-81,39,42,191,2,-26,-62,97,40
78,79,1,-78,38,40,190,2,-25,-62,93,41
81,76,-4,-79,43,36,189,2,-25,-61,99,43
82,76,-6,-78,44,35,189,1,-23,-61,97,46
82,76,-6,-79,44,35,192,3,-21,-59,102,46
83,76,-7,-80,45,35,189,1,-23,-60,104,46
80,75,-5,-77,43,35,185,-4,-25,-64,98,43
79,77,-2,-78,41,38,186,-4,-25,-63,101,43
76,82,6,-78,35,44,192,-3,-23,-63,94,46
76,84,9,-80,34,46,195,-3,-22,-63,91,44
82,87,6,-84,38,46,192,-5,-23,-64,90,43
83,87,4,-85,40,46,191,-5,-23,-66,84,39
88,87,-1,-88,45,43,190,-2,-22,-66,88,36
91,86,-5,-88,48,41,192,-2,-23,-68,83,34
94,83,-10,-88,52,37,196,-3,-24,-68,83,30
97,85,-12,-91,55,36,196,-3,-25,-66,85,33
95,86,-9,-90,52,38,194,-3,-23,-66,82,37
95,86,-8,-90,52,39,198,-2,-22,-61,89,39
90,85,-4,-88,47,40,206,-2,-20,-58,88,41
88,86,-2,-87,45,42,211,0,-19,-54,90,42
90,89,-2,-89,46,44,210,1,-18,-51,92,46
87,90,4,-88,41,47,209,3,-16,-49,89,50
85,93,8,-89,39,50,206,6,-15,-47,97,53
83,94,12,-88,35,53,206,6,-14,-47,97,55
81,94,13,-87,34,53,208,5,-14,-47,101,53
84,97,13,-91,36,55,206,5,-14,-47,104,51
86,101,15,-93,35,58,201,5,-14,-50,100,45
90,102,12,-95,39,57,202,7,-13,-50,103,43
90,100,9,-95,40,55,207,8,-11,-53,97,43
91,96,6,-94,43,51,210,8,-10,-53,95,41
94,94,0,-94,47,47,210,4,-12,-51,95,40
88,93,6,-91,41,50,211,4,-12,-51,90,39
81,97,16,-89,33,56,212,7,-12,-50,95,39
78,98,20,-88,29,59,218,10,-11,-49,92,40
78,96,18,-87,30,57,228,14,-10,-48,95,39
79,96,17,-87,31,57,229,15,-10,-46,97,39
75,96,21,-85,27,58,225,15,-11,-47,92,38
78,96,18,-87,30,57,226,14,-10,-46,95,36
81,96,16,-88,33,56,229,11,-7,-48,89,35
84,97,13,-90,36,55,228,8,-6,-50,87,32
90,99,9,-94,41,54,222,6,-9,-51,84,32
93,100,7,-96,43,54,219,3,-10,-52,80,33
99,102,4,-100,47,53,216,1,-11,-50,88,37
103,103,0,-103,51,52,217,-1,-10,-49,88,39
106,102,-4,-104,55,49,223,0,-7,-47,94,38
109,103,-6,-106,58,49,222,2,-7,-44,99,39
106,104,-2,-105,54,51,217,5,-6,-43,97,38
106,105,0,-105,53,52,217,7,-6,-43,100,36
102,106,4,-104,49,55,220,6,-7,-47,91,33
101,105,5,-103,48,55,222,7,-6,-49,89,31
104,106,2,-105,51,54,220,7,-7,-50,88,31
103,105,2,-103,50,53,219,7,-6,-51,84,31
104,104,0,-104,52,52,218,6,-6,-49,91,32
105,103,-1,-104,53,51,220,5,-5,-48,90,35
105,102,-3,-103,54,50,226,6,-4,-45,94,35
105,101,-4,-103,54,49,227,11,-1,-41,99,38
98,97,-1,-98,50,48,227,18,6,-38,98,38
97,96,-1,-96,49,48,228,19,7,-35,103,39
94,95,1,-95,46,48,229,12,3,-37,97,41
93,95,2,-94,46,49,229,10,1,-37,96,39
97,98,1,-97,48,49,225,9,-1,-36,95,38
97,99,2,-98,48,50,224,9,-1,-35,89,35
102,102,0,-102,51,51,222,12,-3,-31,94,32
103,105,2,-104,51,54,222,11,-4,-32,89,30
103,109,6,-106,48,58,226,10,-6,-32,90,26
107,109,2,-108,52,56,224,10,-8,-31,91,24
108,103,-4,-105,56,50,219,11,-7,-33,86,21
110,98,-12,-104,61,43,220,12,-8,-33,87,20
108,91,-17,-99,62,37,224,11,-9,-38,76,22
105,88,-17,-96,61,35,230,13,-7,-37,75,25
105,90,-15,-97,60,38,234,17,-5,-34,77,33
102,91,-10,-97,56,41,235,19,-2,-32,77,36
104,95,-9,-99,56,43,233,23,0,-28,87,38
104,98,-6,-101,55,46,233,20,0,-26,88,37
106,101,-5,-103,55,48,237,16,-2,-22,93,31
107,103,-4,-105,56,49,236,13,-4,-19,96,29
103,102,-1,-103,52,50,234,10,-3,-17,92,27
104,103,0,-103,52,51,235,9,-2,-15,96,27
102,104,2,-103,50,53,237,6,1,-16,90,29
98,102,4,-100,47,53,238,5,1,-14,90,30
96,100,4,-98,46,52,237,5,0,-11,89,32
91,98,7,-95,42,53,227,5,1,-11,84,32
91,99,8,-95,42,53,209,7,3,-10,89,32
92,97,5,-94,44,51,192,8,4,-11,84,31
95,92,-3,-94,49,45,178,11,5,-11,85,29
100,91,-8,-95,54,42,159,11,4,-10,87,31
100,91,-10,-96,55,40,138,10,4,-10,82,32
103,93,-11,-98,57,41,121,10,4,-9,86,33
103,95,-8,-99,55,43,107,9,6,-11,82,33
101,97,-4,-99,52,47,93,9,7,-11,82,31
100,100,0,-100,50,50,76,7,5,-12,80,31
98,101,2,-99,48,52,64,7,3,-13,75,30
103,102,-1,-102,52,51,55,9,0,-13,81,31
105,100,-6,-103,55,47,53,7,-1,-13,80,34
